,0
0,Acc:Acc-10.00
1,Acc:Aro-10.00
2,Acc:Don-10.00
3,Acc:Hydro-10.00
4,Acc:Neg-10.00
5,Acc:Neutral-10.00
6,Acc:Pos-10.00
7,Acc:Sul-10.00
8,Aro:Aro-10.00
9,Aro:Don-10.00
10,Aro:Hydro-10.00
11,Aro:Neg-10.00
12,Aro:Neutral-10.00
13,Aro:Pos-10.00
14,Aro:Sul-10.00
15,Don:Don-10.00
16,Don:Hydro-10.00
17,Don:Neg-10.00
18,Don:Neutral-10.00
19,Don:Pos-10.00
20,Don:Sul-10.00
21,Hydro:Hydro-10.00
22,Hydro:Neg-10.00
23,Hydro:Neutral-10.00
24,Hydro:Pos-10.00
25,Hydro:Sul-10.00
26,Neg:Neg-10.00
27,Neg:Neutral-10.00
28,Neg:Pos-10.00
29,Neg:Sul-10.00
30,Neutral:Neutral-10.00
31,Neutral:Pos-10.00
32,Neutral:Sul-10.00
33,Pos:Pos-10.00
34,Pos:Sul-10.00
35,Sul:Sul-10.00
36,Acc:Acc-9.50
37,Acc:Aro-9.50
38,Acc:Don-9.50
39,Acc:Hydro-9.50
40,Acc:Neg-9.50
41,Acc:Neutral-9.50
42,Acc:Pos-9.50
43,Acc:Sul-9.50
44,Aro:Aro-9.50
45,Aro:Don-9.50
46,Aro:Hydro-9.50
47,Aro:Neg-9.50
48,Aro:Neutral-9.50
49,Aro:Pos-9.50
50,Aro:Sul-9.50
51,Don:Don-9.50
52,Don:Hydro-9.50
53,Don:Neg-9.50
54,Don:Neutral-9.50
55,Don:Pos-9.50
56,Don:Sul-9.50
57,Hydro:Hydro-9.50
58,Hydro:Neg-9.50
59,Hydro:Neutral-9.50
60,Hydro:Pos-9.50
61,Hydro:Sul-9.50
62,Neg:Neg-9.50
63,Neg:Neutral-9.50
64,Neg:Pos-9.50
65,Neg:Sul-9.50
66,Neutral:Neutral-9.50
67,Neutral:Pos-9.50
68,Neutral:Sul-9.50
69,Pos:Pos-9.50
70,Pos:Sul-9.50
71,Sul:Sul-9.50
72,Acc:Acc-9.00
73,Acc:Aro-9.00
74,Acc:Don-9.00
75,Acc:Hydro-9.00
76,Acc:Neg-9.00
77,Acc:Neutral-9.00
78,Acc:Pos-9.00
79,Acc:Sul-9.00
80,Aro:Aro-9.00
81,Aro:Don-9.00
82,Aro:Hydro-9.00
83,Aro:Neg-9.00
84,Aro:Neutral-9.00
85,Aro:Pos-9.00
86,Aro:Sul-9.00
87,Don:Don-9.00
88,Don:Hydro-9.00
89,Don:Neg-9.00
90,Don:Neutral-9.00
91,Don:Pos-9.00
92,Don:Sul-9.00
93,Hydro:Hydro-9.00
94,Hydro:Neg-9.00
95,Hydro:Neutral-9.00
96,Hydro:Pos-9.00
97,Hydro:Sul-9.00
98,Neg:Neg-9.00
99,Neg:Neutral-9.00
100,Neg:Pos-9.00
101,Neg:Sul-9.00
102,Neutral:Neutral-9.00
103,Neutral:Pos-9.00
104,Neutral:Sul-9.00
105,Pos:Pos-9.00
106,Pos:Sul-9.00
107,Sul:Sul-9.00
108,Acc:Acc-8.50
109,Acc:Aro-8.50
110,Acc:Don-8.50
111,Acc:Hydro-8.50
112,Acc:Neg-8.50
113,Acc:Neutral-8.50
114,Acc:Pos-8.50
115,Acc:Sul-8.50
116,Aro:Aro-8.50
117,Aro:Don-8.50
118,Aro:Hydro-8.50
119,Aro:Neg-8.50
120,Aro:Neutral-8.50
121,Aro:Pos-8.50
122,Aro:Sul-8.50
123,Don:Don-8.50
124,Don:Hydro-8.50
125,Don:Neg-8.50
126,Don:Neutral-8.50
127,Don:Pos-8.50
128,Don:Sul-8.50
129,Hydro:Hydro-8.50
130,Hydro:Neg-8.50
131,Hydro:Neutral-8.50
132,Hydro:Pos-8.50
133,Hydro:Sul-8.50
134,Neg:Neg-8.50
135,Neg:Neutral-8.50
136,Neg:Pos-8.50
137,Neg:Sul-8.50
138,Neutral:Neutral-8.50
139,Neutral:Pos-8.50
140,Neutral:Sul-8.50
141,Pos:Pos-8.50
142,Pos:Sul-8.50
143,Sul:Sul-8.50
144,Acc:Acc-8.00
145,Acc:Aro-8.00
146,Acc:Don-8.00
147,Acc:Hydro-8.00
148,Acc:Neg-8.00
149,Acc:Neutral-8.00
150,Acc:Pos-8.00
151,Acc:Sul-8.00
152,Aro:Aro-8.00
