,0
0,ALTS910101
1,AZAE970101
2,AZAE970102
3,BASU010101
4,BENS940101
5,BENS940102
6,BENS940103
7,BENS940104
8,BETM990101
9,BLAJ010101
10,BONM030101
11,BONM030102
12,BONM030103
13,BONM030104
14,BONM030105
15,BONM030106
16,BRYS930101
17,CROG050101
18,CSEM940101
19,DAYM780301
20,DAYM780302
21,DOSZ010101
22,DOSZ010102
23,DOSZ010103
24,DOSZ010104
25,FEND850101
26,FITW660101
27,GEOD900101
28,GIAG010101
29,GODA950101
30,GONG920101
31,GRAR740104
32,HENS920101
33,HENS920102
34,HENS920103
35,HENS920104
36,JOHM930101
37,JOND920103
38,JOND940101
39,KANM000101
40,KAPO950101
41,KESO980101
42,KESO980102
43,KOLA920101
44,KOLA930101
45,KOSJ950100_RSA_SST
46,KOSJ950100_SST
47,KOSJ950110_RSA
48,KOSJ950115
49,LEVJ860101
50,LINK010101
51,LIWA970101
52,LUTR910101
53,LUTR910102
54,LUTR910103
55,LUTR910104
56,LUTR910105
57,LUTR910106
58,LUTR910107
59,LUTR910108
60,LUTR910109
61,MCLA710101
62,MCLA720101
63,MEHP950101
64,MEHP950102
65,MEHP950103
66,MICC010101
67,MIRL960101
68,MIYS850102
69,MIYS850103
70,MIYS930101
71,MIYS960101
72,MIYS960102
73,MIYS960103
74,MIYS990106
75,MIYS990107
76,MIYT790101
77,MOHR870101
78,MOOG990101
79,MUET010101
80,MUET020101
81,MUET020102
82,NAOD960101
83,NGPC000101
84,NIEK910101
85,NIEK910102
86,OGAK980101
87,OVEJ920100_RSA
88,OVEJ920101
89,OVEJ920102
90,OVEJ920103
91,PARB960101
92,PARB960102
93,PRLA000101
94,PRLA000102
95,QUIB020101
96,QU_C930101
97,QU_C930102
98,QU_C930103
99,RIER950101
100,RISJ880101
101,ROBB790102
102,RUSR970101
103,RUSR970102
104,RUSR970103
105,SIMK990101
106,SIMK990102
107,SIMK990103
108,SIMK990104
109,SIMK990105
110,SKOJ000101
111,SKOJ000102
112,SKOJ970101
113,TANS760101
114,TANS760102
115,THOP960101
116,TOBD000101
117,TOBD000102
118,TUDE900101
119,VENM980101
120,VOGG950101
121,WEIL970101
122,WEIL970102
123,ZHAC000101
124,ZHAC000102
125,ZHAC000103
126,ZHAC000104
127,ZHAC000105
128,ZHAC000106
129,blosum100
130,blosum30
131,blosum35
132,blosum40
133,blosum45
134,blosum50
135,blosum55
136,blosum60
137,blosum62
138,blosum65
139,blosum70
140,blosum75
141,blosum80
142,blosum85
143,blosum90
144,blosum95
145,pam120
146,pam180
147,pam250
148,pam30
149,pam300
150,pam60
151,pam90
