,0
0,RSA
1,Phi
2,Psi
3,ResDepth
4,ca_depth
5,relative_bfactor
6,vol_change
7,Covalent
8,VDWClash
9,VDW
10,Proximal
11,Hbond
12,WeakHbond
13,Ionic
14,Aromatic
15,Hydrophobic
16,Carbonyl
17,Polar
18,WeakPolar
19,PI-PI
20,Carbon-PI
21,Cation-PI
22,Donor-PI
23,MetalSulphur-PI
24,Amide-Amide
25,Amide-Ring
26,d_Covalent
27,d_VDWClash
28,d_VDW
29,d_Proximal
30,d_Hbond
31,d_WeakHbond
32,d_Ionic
33,d_Aromatic
34,d_Hydrophobic
35,d_Carbonyl
36,d_Polar
37,d_WeakPolar
38,d_PI-PI
39,d_Carbon-PI
40,d_Cation-PI
41,d_Donor-PI
42,d_MetalSulphur-PI
43,d_Amide-Amide
44,d_Amide-Ring
45,Hydro
46,Pos
47,Neg
48,Acc
49,Don
50,Aro
51,Sul
52,Neut
53,SST_3-10 Helix
54,SST_Alpha Helix
55,SST_Bend
56,SST_Isolated beta-bridge
57,SST_Pi Helix
58,SST_Strand
59,SST_Turn
