,ddG
0,-3.7
1,-4.55
2,-2.4
3,-4.55
4,-0.7
5,0.55
6,0.81
7,0.19
8,0.32
9,0.77
10,0.55
11,-1.91
12,-1.48
13,-1.67
14,0.53
15,0.26
16,1.63
17,-0.33
18,-0.18
19,-1.02
20,-1.2
21,-1.59
22,-1.0
23,-1.4
24,-1.18
25,-1.03
26,0.48
27,-0.05
28,-2.6
29,-1.8
30,-1.1
31,-1.1
32,-1.1
33,-0.2
34,-1.2
35,-0.1
36,-1.3
37,0.7
38,-0.3
39,0.1
40,-1.1
41,-3.7
42,-1.3
43,-2.8
44,0.5
45,-1.4
46,-2.3
47,-3.6
48,-1.6
49,-2.8
50,-0.6
51,-2.0
52,-0.6
53,0.0
54,0.4
55,-0.5
56,-0.1
57,-1.4
58,-0.4
59,-1.3
60,-0.2
61,-2.8
62,-3.8
63,-2.4
64,-2.8
65,-3.8
66,-2.2
67,0.2
68,-0.4
69,0.4
70,0.4
71,-0.7
72,0.5
73,-1.3
74,-1.4
75,-0.7
76,-1.8
77,0.0
78,-1.3
79,0.0
80,-0.3
81,-1.9
82,0.3
83,-0.6
84,0.5
85,-0.5
86,0.3
87,-0.1
88,-0.2
89,-0.4
90,-2.3
91,-0.2
92,-2.1
93,-3.5
94,-1.91
95,-2.15
96,-0.96
97,-2.13
98,-0.9
99,-1.2
100,-1.6
101,1.8
102,-5.0
103,-1.12
104,-0.9
105,-0.02
106,-1.69
107,-1.44
108,-2.25
109,-1.05
110,-1.21
111,-0.99
112,-1.68
113,1.06
114,-1.79
115,-0.45
116,-2.44
117,-1.4
118,-0.8
119,-2.4
120,-0.44
121,-0.25
122,-0.2
123,-0.25
124,-1.65
125,-3.5
126,-1.51
127,-1.29
128,-4.3
129,-1.73
130,-1.41
131,-1.57
132,-5.35
133,-1.67
134,-4.0
135,-0.5
136,-1.6
137,-1.84
138,-1.41
139,-2.63
140,-1.84
141,-0.28
142,-2.5
143,-2.54
144,-1.63
145,-1.87
146,-1.88
147,-0.02
148,-1.5
149,1.04
150,-2.24
151,0.1
152,1.9
153,-0.8
154,-1.35
155,-0.5
156,-0.57
157,0.4
158,-0.43
159,-0.5
160,-0.84
161,-0.3
162,-1.14
163,-2.7
164,0.3
165,-2.0
166,0.2
167,-1.9
168,-0.6
169,-1.23
170,-0.6
171,0.1
172,0.0
173,-0.73
174,-1.8
175,-0.57
176,0.4
177,-0.9
178,-3.4
179,-0.1
180,-3.28
181,0.2
182,-0.6
183,0.5
184,1.3
185,0.0
186,0.23
187,-1.9
188,2.9
189,0.1
190,-0.65
191,-0.1
192,0.22
193,-0.6
194,0.27
195,0.2
196,-0.64
197,-1.1
198,-1.04
199,-3.4
200,-4.6
201,-1.9
202,0.2
203,-0.24
204,0.1
205,-4.0
206,-3.4
207,0.6
208,-1.2
209,-0.2
210,-0.6
211,0.6
212,-1.0
213,-2.3
214,-1.1
215,-1.1
216,0.96
217,0.5
218,0.45
219,-1.67
220,-1.16
221,-1.19
222,-1.31
223,0.05
224,-0.01
225,-0.36
226,-0.33
227,-0.21
228,-1.3
229,-2.1
230,-0.5
231,-0.7
232,-0.3
233,-2.7
234,-0.3
235,-3.9
236,-0.7
237,-0.4
238,-0.6
239,-0.1
240,0.7
241,0.2
242,-1.5
243,-0.8
244,-2.3
245,-0.2
246,-2.6
247,0.7
248,-1.6
249,-2.1
250,-2.0
251,-1.1
252,1.4
253,-3.45
254,3.0
255,1.3
256,-0.44
257,-4.1
258,-0.09
259,-1.29
260,-0.27
261,-3.04
262,-2.37
263,-4.9
264,-0.9
265,-1.91
266,-2.1
267,-2.7
268,-2.2
269,-4.35
270,-2.62
271,-5.3
272,-3.4
273,-7.8
274,-0.24
275,-0.65
276,-1.05
277,-0.8
278,-1.8
279,-2.64
280,-4.01
281,-1.1
282,-3.31
283,-0.9
284,0.8
285,0.43
286,0.44
287,-0.3
288,-0.35
289,-4.51
290,-3.05
291,-0.5
292,-0.3
293,0.0
294,0.64
295,-2.12
296,-2.05
297,0.3
298,0.15
299,-1.8
300,-2.8
301,0.24
302,-1.66
303,-1.95
304,-0.05
305,-1.38
306,-4.3
307,-1.29
308,-1.72
309,-0.56
310,-2.31
311,-2.21
312,0.11
313,-0.27
314,-1.09
315,-2.06
316,-1.27
317,-3.08
318,-1.87
319,-0.22
320,-1.04
321,-1.1
322,-1.24
323,-3.49
324,-2.12
325,-4.02
326,-1.35
327,0.6
328,-1.05
329,1.4
330,0.35
331,0.35
332,1.15
333,-1.9
334,-2.4
335,-0.5
336,-1.7
337,-1.3
338,-6.1
339,-8.7
340,-8.0
341,-7.8
342,-6.0
343,0.2
344,-0.4
345,-0.2
346,-1.5
347,-2.0
348,-2.4
349,-6.9
350,-3.0
351,-2.2
352,-1.8
353,-4.3
354,-4.1
